START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2016-1-1 21:11,2016-1-1 21:17,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
2016-1-2 1:25,2016-1-2 1:37,Business,Fort Pierce,Fort Pierce,5,
2016-1-2 20:25,2016-1-2 20:38,Business,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
2016-1-5 17:31,2016-1-5 17:45,Business,Fort Pierce,Fort Pierce,4.7,Meeting
2016-1-6 14:42,2016-1-6 15:49,Business,Fort Pierce,West Palm Beach,63.7,Customer Visit
2016-1-6 17:15,2016-1-6 17:19,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
2016-1-6 17:30,2016-1-6 17:35,Business,West Palm Beach,Palm Beach,7.1,Meeting
2016-1-7 13:27,2016-1-7 13:33,Business,Cary,Cary,0.8,Meeting
2016-1-10 8:05,2016-1-10 8:25,Business,Cary,Morrisville,8.3,Meeting
2016-1-10 12:17,2016-1-10 12:44,Business,Jamaica,New York,16.5,Customer Visit
2016-1-10 15:08,2016-1-10 15:51,Business,New York,Queens,10.8,Meeting
2016-1-10 18:18,2016-1-10 18:53,Business,Elmhurst,New York,7.5,Meeting
2016-1-10 19:12,2016-1-10 19:32,Business,Midtown,East Harlem,6.2,Meeting
2016-1-11 8:55,2016-1-11 9:21,Business,East Harlem,NoMad,6.4,Temporary Site
2016-1-11 11:56,2016-1-11 12:03,Business,Flatiron District,Midtown,1.6,Errand/Supplies
2016-1-11 13:32,2016-1-11 13:46,Business,Midtown,Midtown East,1.7,Meal/Entertain
2016-1-11 14:30,2016-1-11 14:43,Business,Midtown East,Midtown,1.9,Meal/Entertain
2016-1-12 12:33,2016-1-12 12:49,Business,Midtown,Hudson Square,1.9,Meal/Entertain
2016-1-12 12:53,2016-1-12 13:09,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain
2016-1-12 14:42,2016-1-12 14:56,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies
2016-1-12 15:13,2016-1-12 15:28,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit
2016-1-12 15:42,2016-1-12 15:54,Business,Hell's Kitchen,Midtown,2,Errand/Supplies
2016-1-12 16:02,2016-1-12 17:00,Business,New York,Queens County,15.1,Meeting
2016-1-13 13:54,2016-1-13 14:07,Business,Downtown,Gulfton,11.2,Meeting
2016-1-13 15:00,2016-1-13 15:28,Business,Gulfton,Downtown,11.8,Meeting
2016-1-14 16:29,2016-1-14 17:05,Business,Houston,Houston,21.9,Customer Visit
2016-1-14 21:39,2016-1-14 21:45,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies
2016-1-15 0:41,2016-1-15 1:01,Business,Morrisville,Cary,8,Errand/Supplies
2016-1-15 11:43,2016-1-15 12:03,Business,Cary,Durham,10.4,Meal/Entertain
2016-1-15 13:26,2016-1-15 13:44,Business,Durham,Cary,10.4,Meal/Entertain
2016-1-18 14:55,2016-1-18 15:06,Business,Cary,Cary,4.8,Meal/Entertain
2016-1-18 16:13,2016-1-18 16:24,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain
2016-1-19 9:09,2016-1-19 9:23,Business,Whitebridge,Lake Wellingborough,7.2,
2016-1-19 10:55,2016-1-19 11:09,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site
2016-1-20 10:36,2016-1-20 11:11,Business,Cary,Raleigh,17.1,Meeting
2016-1-20 11:48,2016-1-20 12:19,Business,Fayetteville Street,Umstead,15.1,Meeting
2016-1-20 13:25,2016-1-20 14:19,Business,Raleigh,Cary,40.2,Customer Visit
2016-1-21 14:25,2016-1-21 14:29,Business,Cary,Cary,1.6,Errand/Supplies
2016-1-21 14:43,2016-1-21 14:51,Business,Cary,Cary,2.4,Meal/Entertain
2016-1-21 16:01,2016-1-21 16:06,Business,Cary,Cary,1,Meal/Entertain
2016-1-26 10:41,2016-1-26 10:50,Business,Whitebridge,Hazelwood,2,Meal/Entertain
